wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run y7rq6e80
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /data/share/lijiang/250010178/250010178/debug_tmp_6*6for4/wandb/run-20251230_074112-y7rq6e80
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bumbling-cloud-2
wandb: ⭐️ View project at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6
wandb: 🚀 View run at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6/runs/y7rq6e80
Using device: cuda
Game 234 | Winner: -1 | Loss: 2.8603 | Steps: 34
Game 235 | Winner: -1 | Loss: 2.7509 | Steps: 30
Game 236 | Winner: -1 | Loss: 2.8274 | Steps: 30
Game 237 | Winner: -1 | Loss: 2.6698 | Steps: 36
Game 238 | Winner: -1 | Loss: 2.4803 | Steps: 32
Game 239 | Winner: -1 | Loss: 2.8708 | Steps: 34
Game 240 | Winner: 1 | Loss: 2.8739 | Steps: 33
Game 241 | Winner: -1 | Loss: 2.5534 | Steps: 32
Game 242 | Winner: 0 | Loss: 2.5480 | Steps: 36
Game 243 | Winner: 0 | Loss: 2.6622 | Steps: 36
Game 244 | Winner: 1 | Loss: 2.3925 | Steps: 35
Game 245 | Winner: 1 | Loss: 2.6590 | Steps: 33
Game 246 | Winner: 1 | Loss: 2.8584 | Steps: 33
Game 247 | Winner: -1 | Loss: 2.7625 | Steps: 34
Game 248 | Winner: -1 | Loss: 2.6930 | Steps: 36
Game 249 | Winner: -1 | Loss: 2.7376 | Steps: 36
Game 250 | Winner: 1 | Loss: 2.7302 | Steps: 33
Game 251 | Winner: -1 | Loss: 2.6510 | Steps: 32
Game 252 | Winner: 1 | Loss: 2.8723 | Steps: 31
Game 253 | Winner: 0 | Loss: 2.7572 | Steps: 36
Game 254 | Winner: -1 | Loss: 2.5487 | Steps: 34
Game 255 | Winner: -1 | Loss: 2.4511 | Steps: 34
Game 256 | Winner: -1 | Loss: 2.5334 | Steps: 30
Game 257 | Winner: 1 | Loss: 2.8022 | Steps: 35
Game 258 | Winner: 1 | Loss: 2.8457 | Steps: 35
Game 259 | Winner: -1 | Loss: 2.3696 | Steps: 34
Game 260 | Winner: 1 | Loss: 2.5626 | Steps: 35
Game 261 | Winner: 1 | Loss: 2.7155 | Steps: 35
